Unnamed: 0,m49_code,food_supply_stage_Harvest
10392,426,True
21289,800,False
18959,716,False
25256,894,False
5468,270,True
20572,768,False
17126,686,False
5649,270,False
11168,454,False
11552,466,False
1053,148,True
5796,288,False
24168,854,False
12896,50,False
20858,800,True
10248,426,True
12302,478,False
11797,466,True
1862,180,False
17809,694,False
3016,231,True
11377,454,False
2829,204,False
14919,566,False
293,108,False
10891,454,False
4375,232,False
3415,231,False
2541,204,False
25004,894,False
14710,562,False
17583,694,False
18994,716,False
1079,148,False
13094,50,False
25122,894,True
3203,231,False
14455,562,False
3230,231,False
14295,516,False
729,120,False
21187,800,True
4291,232,False
12578,478,True
9344,404,False
12609,478,True
11526,454,False
17682,694,False
16564,646,True
9455,404,False
5091,24,False
13507,508,False
20215,764,False
24335,854,False
3884,231,False
20200,760,False
17010,686,False
24507,854,False
9875,404,False
15331,566,False
4223,232,True
12577,478,False
22259,834,False
4791,24,False
4563,24,False
13363,508,True
1993,180,False
12202,478,True
24102,854,False
16953,686,False
10074,408,False
4925,24,False
5784,288,False
2399,204,False
3206,231,False
24883,894,False
21850,834,False
11053,454,False
12512,478,True
11193,454,False
12376,478,True
17903,706,False
23945,854,False
24562,854,False
2917,231,False
12905,50,False
3032,231,False
21143,800,False
20883,800,False
24975,894,True
19723,729,False
3704,231,False
10755,450,False
14090,516,False
1764,180,False
20325,768,False
2487,204,False
72,108,False
5088,24,True
17647,694,False
1295,148,False
20708,768,False
14151,516,False
21516,800,True
8812,384,True
20911,800,False
6527,288,False
871,120,False
14719,562,True
20759,788,False
13424,508,False
4609,24,False
15313,566,False
6353,288,False
14672,562,False
9837,404,True
19734,729,False
5764,288,False
6150,288,False
15484,586,True
25205,894,False
13069,50,False
24705,894,False
16922,686,True
1157,148,False
5786,288,False
9226,404,False
22098,834,False
9163,404,False
24608,854,False
10037,404,False
1172,148,True
13237,50,False
16626,646,False
7627,356,False
16731,662,True
3975,232,True
3722,231,False
19274,72,False
21551,800,False
9883,404,False
14943,566,False
6330,288,False
12123,466,True
17715,694,False
8766,384,False
24190,854,True
14993,566,False
14444,562,False
21373,800,False
686,120,True
1074,148,False
7299,356,True
24689,894,False
2684,204,False
20587,768,False
18379,710,True
10278,426,False
5634,270,False
9051,404,False
2649,204,True
10635,450,False
1056,148,True
2266,204,False
10478,430,False
22037,834,False
16044,624,False
11992,466,False
400,108,False
19253,72,True
4034,232,False
7302,356,False
16820,686,True
325,108,False
22252,834,False
796,120,False
16294,646,False
9786,404,False
751,120,True
25019,894,False
21363,800,False
15927,624,False
3473,231,True
12708,50,False
11956,466,False
19746,729,False
22156,834,False
13990,516,False
16331,646,False
1481,148,False
4328,232,True
1626,156,False
8986,384,True
2716,204,False
2286,204,False
24096,854,False
8776,384,False
10803,454,False
10128,426,False
18919,716,False
13568,508,False
4692,24,True
4082,232,True
9972,404,False
21104,800,False
1802,180,True
11101,454,False
22229,834,False
15275,566,False
21460,800,False
4412,24,False
20542,768,False
17227,686,False
4226,232,False
12562,478,False
373,108,True
7761,356,False
10010,404,False
18211,706,False
6468,288,False
9669,404,True
20777,800,True
340,108,False
24867,894,False
5636,270,False
6124,288,False
8040,356,False
17316,686,False
17540,694,False
21897,834,True
16628,646,True
9997,404,False
3481,231,True
23909,854,False
572,120,False
17158,686,False
5396,270,False
6001,288,False
17633,694,False
13539,508,False
2149,180,False
9223,404,False
11018,454,False
4430,24,False
21250,800,True
10715,450,False
4371,232,True
25109,894,False
7241,356,False
10604,450,True
1821,180,False
15340,566,False
15339,566,False
16612,646,False
3894,231,False
590,120,False
11909,466,False
4526,24,False
18706,716,False
3907,231,False
10556,430,False
16759,682,False
12023,466,False
12556,478,True
24288,854,False
989,148,False
3156,231,False
20716,768,False
4487,24,False
13540,508,False
5086,24,False
10500,430,False
5533,270,False
25170,894,False
4573,24,False
1975,180,False
23923,854,False
6367,288,False
18319,710,False
12475,478,False
11695,466,False
13124,50,False
18376,710,False
1413,148,False
7765,356,False
4643,24,False
20671,768,False
131,108,False
2400,204,True
13063,50,False
10497,430,False
3229,231,False
5509,270,True
1427,148,False
10391,426,False
13196,50,False
4888,24,False
11294,454,False
5870,288,False
5822,288,False
6485,288,False
3307,231,False
16023,624,False
6077,288,True
6787,324,False
6351,288,False
16372,646,False
17385,686,False
16723,646,False
6105,288,False
5491,270,False
10067,404,False
24777,894,False
1296,148,False
24976,894,False
4809,24,False
4923,24,False
11738,466,False
8461,360,False
5658,270,False
9656,404,False
10083,410,False
20298,768,False
24953,894,True
11376,454,False
9798,404,True
11637,466,False
14507,562,False
15718,624,False
10564,450,False
10673,450,True
22194,834,False
14235,516,False
2013,180,False
21288,800,False
4576,24,False
4463,24,False
24711,894,False
15621,624,False
5701,270,False
24098,854,False
6048,288,True
3123,231,False
280,108,False
17433,686,False
4308,232,False
13304,504,False
12057,466,True
17231,686,False
15332,566,False
21462,800,False
20915,800,False
6713,324,False
3700,231,False
12587,478,True
8756,384,False
22104,834,False
13116,50,False
11194,454,True
13211,50,False
14674,562,False
1435,148,False
4993,24,False
16589,646,False
10143,426,False
17978,706,False
14991,566,False
17523,694,True
22397,834,False
9695,404,True
101,108,False
10642,450,False
13570,508,False
4141,232,False
12611,478,False
594,120,False
13119,50,False
15355,578,False
7295,356,False
3648,231,False
16411,646,False
12920,50,False
16821,686,False
19461,72,False
19330,72,False
7446,356,False
778,120,False
16197,646,False
7639,356,False
24120,854,False
14420,562,True
17607,694,False
7088,356,False
1491,148,True
23955,854,False
17711,694,False
2916,231,False
12717,50,False
9089,404,True
14545,562,False
6585,31,False
5684,270,True
23918,854,False
20955,800,False
13028,50,False
19698,729,False
1914,180,False
7237,356,False
10393,426,False
24373,854,True
16878,686,False
24255,854,False
15764,624,False
17298,686,False
17062,686,False
14249,516,False
17431,686,False
118,108,False
10926,454,False
9360,404,True
11121,454,False
18139,706,False
11154,454,False
1954,180,False
11739,466,False
24440,854,False
511,108,True
12222,478,False
13181,50,False
190,108,True
4139,232,True
25190,894,False
6328,288,False
4164,232,True
15187,566,False
18464,710,False
21002,800,True
23977,854,False
2142,180,False
15293,566,False
24990,894,False
7821,356,False
15535,608,False
5037,24,False
9088,404,False
16696,646,False
10612,450,False
11341,454,False
16335,646,False
11476,454,True
24899,894,False
285,108,False
3299,231,False
22398,834,False
13062,50,False
10069,404,False
2529,204,False
3472,231,False
10791,454,True
10460,430,True
4628,24,False
141,108,False
12876,50,False
14471,562,False
21060,800,False
673,120,False
8746,384,False
10232,426,False
14708,562,False
16623,646,False
24630,854,True
4950,24,False
14533,562,False
4552,24,False
1838,180,False
24831,894,False
2658,204,False
4917,24,False
17264,686,False
18550,710,False
22005,834,False
2284,204,False
13299,504,False
5660,270,False
12210,478,True
13841,508,False
17812,694,False
4017,232,False
1893,180,False
2674,204,False
15766,624,False
16989,686,False
14121,516,False
2890,208,False
8954,384,False
20791,800,False
6884,324,False
9073,404,False
20825,800,False
12226,478,False
1180,148,False
5221,270,False
